date,Opening,High,Low,Closing,Volume,MovingAve5,MovingAve14,MovingAve30,Volatility5,Volatility14,Volatility30,HighLowVolatility5,HighLowVolatility14,HighLowVolatility30,ATR5,ATR14,ATR30,MADRate5,MADRate14,MADRate30,RSI5,RSI14,RSI30,shortMACD,shortMACDSignalSMA,shortMACDHistoSMA,shortMACDSignalEMA,shortMACDHistoEMA,longMACD,longMACDSignalSMA,longMACDHistoSMA,longMACDSignalEMA,longMACDHistoEMA,upperBBand5,upperBBand14,upperBBand30,underBBand5,underBBand14,underBBand30
2024/12/06,173.00000,173.00000,168.00000,169.00000,1905400.00000,173.20000,183.57143,184.76667,2.71293,9.39388,7.48636,5.20000,7.21429,6.73333,5.80000,8.00000,7.23333,-2.42494,-7.93774,-8.53329,25.00000,40.57971,46.26866,-11.56667,-3.20000,-8.36667,-5.12635,-6.44032,-1.19524,0.40635,-1.60159,-0.03214,-1.16309,178.62586,202.35918,199.73938,167.77414,164.78368,169.79395
2024/12/05,173.00000,176.00000,172.00000,175.00000,1448100.00000,174.80000,184.50000,185.10000,2.03961,8.50840,6.98260,5.20000,7.85714,6.70000,5.80000,8.71429,7.13333,0.11442,-5.14905,-5.45651,23.52941,53.33333,47.69231,-10.30000,-1.18148,-9.11852,-3.51627,-6.78373,-0.60000,0.75344,-1.35344,0.25863,-0.85863,178.87922,201.51680,199.06519,170.72078,167.48320,171.13481
2024/12/04,174.00000,179.00000,170.00000,171.00000,4151300.00000,176.60000,184.14286,185.30000,4.22374,8.99093,6.77323,5.40000,8.78571,6.66667,5.80000,9.57143,7.06667,-3.17101,-7.13732,-7.71722,0.00000,40.90909,45.66929,-8.70000,0.52593,-9.22593,-1.82034,-6.87966,-1.15714,1.04021,-2.19735,0.47329,-1.63043,185.04748,202.12471,198.84646,168.15252,166.16101,171.75354
2024/12/03,176.00000,178.00000,173.00000,175.00000,1167400.00000,180.00000,185.28571,185.66667,5.09902,8.23259,6.26808,6.00000,8.42857,6.60000,6.40000,9.21429,7.00000,-2.77778,-5.55127,-5.74506,0.00000,42.35294,45.66929,-5.66667,1.66667,-7.33333,-0.10042,-5.56624,-0.38095,1.39206,-1.77302,0.88089,-1.26185,190.19804,201.75089,198.20284,169.80196,168.82054,173.13050
2024/12/02,177.00000,178.00000,175.00000,176.00000,884600.00000,183.40000,186.21429,186.03333,6.18385,7.73839,5.94689,5.80000,8.35714,6.60000,6.20000,9.14286,7.00000,-4.03490,-5.48523,-5.39330,5.88235,41.37931,47.69231,-2.63333,2.41852,-5.05185,1.29114,-3.92447,0.18095,1.65661,-1.47566,1.19636,-1.01540,195.76770,201.69106,197.92712,171.03230,170.73751,174.13954
2024/11/29,181.00000,182.00000,177.00000,177.00000,1523700.00000,186.40000,187.28571,186.23333,5.46260,7.27450,5.70195,6.60000,8.35714,6.60000,7.00000,9.14286,7.00000,-5.04292,-5.49199,-4.95794,21.05263,42.52874,48.06202,0.16667,2.75556,-2.58889,2.27225,-2.10559,1.05238,1.82222,-0.76984,1.45021,-0.39783,197.32520,201.83472,197.63723,175.47480,172.73671,174.82944
2024/11/28,188.00000,189.00000,184.00000,184.00000,926500.00000,188.60000,188.21429,186.40000,2.80000,6.71011,5.49909,7.20000,8.21429,6.56667,7.20000,8.85714,6.90000,-2.43902,-2.23909,-1.28755,28.57143,48.19277,50.40650,2.20000,2.57778,-0.37778,2.79865,-0.59865,1.81429,1.85238,-0.03810,1.54966,0.26462,194.20000,201.63450,197.39818,183.00000,174.79408,175.40182
2024/11/27,194.00000,199.00000,187.00000,188.00000,1655900.00000,189.80000,188.42857,186.36667,1.60000,6.61939,5.51654,7.80000,8.35714,6.56667,7.80000,9.00000,6.90000,-0.94837,-0.22745,0.87641,33.33333,51.85185,50.40650,3.43333,2.32222,1.11111,2.94831,0.48502,2.06190,1.78413,0.27778,1.48351,0.57840,193.00000,201.66735,197.39975,186.60000,175.18979,175.33359
2024/11/26,191.00000,192.00000,188.00000,192.00000,979000.00000,190.60000,188.21429,186.33333,1.49666,6.67809,5.50959,7.60000,7.92857,6.30000,7.60000,8.57143,6.73333,0.73452,2.01139,3.04114,22.22222,52.50000,54.03226,4.26667,2.24444,2.02222,2.82706,1.43961,1.88095,1.70476,0.17619,1.33891,0.54204,193.59333,201.57047,197.35251,187.60667,174.85810,175.31416
2024/11/25,190.00000,195.00000,188.00000,191.00000,1398900.00000,192.60000,187.92857,186.00000,4.88262,6.59507,5.45894,9.80000,7.92857,6.23333,11.00000,8.57143,6.66667,-0.83074,1.63436,2.68817,62.16216,51.89873,53.22581,6.60000,2.01481,4.58519,2.46716,4.13284,1.92857,1.56720,0.36138,1.20340,0.72517,202.36524,201.11870,196.91788,182.83476,174.73844,175.08212
2024/11/22,191.00000,194.00000,186.00000,188.00000,1111900.00000,190.80000,187.71429,185.73333,6.52380,6.54030,5.40329,11.20000,7.71429,6.06667,13.00000,8.35714,6.50000,-1.46751,0.15221,1.22039,69.56522,50.64935,51.21951,5.06667,1.51852,3.54815,1.43395,3.63272,1.98095,1.36138,0.61958,1.02210,0.95885,203.84761,200.79488,196.53992,177.75239,174.63369,174.92675
2024/11/21,192.00000,197.00000,189.00000,190.00000,1245400.00000,187.20000,187.64286,185.63333,10.70327,6.54225,5.38816,13.00000,7.50000,5.86667,14.80000,8.14286,6.30000,1.49573,1.25619,2.35231,52.45902,51.31579,51.63934,1.56667,1.10370,0.46296,0.52577,1.04090,2.00952,1.05608,0.95344,0.78239,1.22713,208.60654,200.72735,196.40964,165.79346,174.55836,174.85702
2024/11/20,202.00000,203.00000,192.00000,192.00000,2254700.00000,186.60000,187.50000,185.50000,10.61320,6.51098,5.32760,12.20000,7.14286,5.73333,14.00000,7.78571,6.16667,2.89389,2.40000,3.50404,53.33333,53.94737,51.21951,1.10000,0.98519,0.11481,0.26554,0.83446,2.00000,0.68995,1.31005,0.47561,1.52439,207.82640,200.52196,196.15520,165.37360,174.47804,174.84480
2024/11/19,189.00000,203.00000,188.00000,202.00000,4606300.00000,185.80000,187.07143,185.40000,10.32279,6.39715,5.23195,10.80000,6.71429,5.46667,12.60000,7.42857,5.90000,8.71905,7.98015,8.95361,60.37736,56.94444,54.78261,0.40000,0.89630,-0.49630,0.05693,0.34307,1.67143,0.24074,1.43069,0.09451,1.57692,206.44558,199.86572,195.86391,165.15442,174.27714,174.93609
2024/11/18,173.00000,187.00000,173.00000,182.00000,2824300.00000,183.60000,186.35714,185.03333,7.39189,5.12148,4.37023,8.40000,6.35714,5.03333,9.00000,6.64286,5.26667,-0.87146,-2.33806,-1.63934,38.23529,48.33333,45.83333,-1.43333,0.85556,-2.28889,-0.02884,-1.40449,1.32381,-0.24762,1.57143,-0.29972,1.62353,198.38377,196.60011,193.77379,168.81623,176.11418,176.29288
2024/11/15,184.00000,187.00000,170.00000,170.00000,4561100.00000,185.20000,186.50000,185.30000,7.73046,5.02494,4.42078,6.20000,5.85714,4.63333,6.20000,5.92857,4.83333,-8.20734,-8.84718,-8.25688,16.00000,40.38462,40.22989,-0.10000,1.07037,-1.17037,0.32228,-0.42228,1.20000,-0.77407,1.97407,-0.70560,1.90560,200.66092,196.54988,194.14157,169.73908,176.45012,176.45843
2024/11/14,190.00000,191.00000,187.00000,187.00000,485400.00000,188.60000,187.21429,185.86667,1.62481,2.88292,3.39346,4.20000,5.00000,4.23333,4.20000,5.07143,4.43333,-0.84836,-0.11446,0.60976,60.00000,61.11111,47.29730,2.73333,1.01481,1.71852,0.42785,2.30548,1.34762,-1.32804,2.67566,-1.18200,2.52962,191.84962,192.98012,192.65358,185.35038,181.44845,179.07975
2024/11/13,190.00000,192.00000,188.00000,188.00000,558900.00000,188.20000,186.64286,186.00000,2.13542,3.57785,3.51188,4.60000,5.00000,4.20000,4.60000,5.07143,4.40000,-0.10627,0.72713,1.07527,50.00000,59.45946,48.64865,2.20000,0.44444,1.75556,-0.14852,2.34852,0.64286,-1.98254,2.62540,-1.81441,2.45727,192.47083,193.79856,193.02377,183.92917,179.48715,178.97623
2024/11/12,190.00000,192.00000,189.00000,191.00000,411000.00000,188.20000,186.14286,186.06667,2.13542,3.83326,3.56776,4.60000,4.92857,4.30000,4.60000,5.00000,4.53333,1.48778,2.60936,2.65138,66.66667,62.85714,46.15385,2.13333,-0.30741,2.44074,-0.73565,2.86898,0.07619,-2.63915,2.71534,-2.42873,2.50492,192.47083,193.80938,193.20218,183.92917,178.47634,178.93115
2024/11/11,187.00000,190.00000,187.00000,190.00000,460100.00000,187.60000,185.50000,186.26667,1.62481,3.71772,3.98274,4.80000,5.21429,4.36667,4.80000,5.28571,4.60000,1.27932,2.42588,2.00429,66.66667,55.26316,45.45455,1.33333,-1.22963,2.56296,-1.45289,2.78623,-0.76667,-3.30741,2.54074,-3.05496,2.28829,190.84962,192.93544,194.23215,184.35038,178.06456,178.30119
2024/11/08,187.00000,190.00000,183.00000,187.00000,588400.00000,187.00000,185.21429,186.50000,1.09545,3.50874,4.37988,5.20000,5.35714,4.36667,5.20000,5.42857,4.60000,0.00000,0.96413,0.26810,42.85714,56.41026,42.10526,0.50000,-2.34074,2.84074,-2.14945,2.64945,-1.28571,-3.98519,2.69947,-3.62703,2.34132,189.19089,192.23176,195.25976,184.80911,178.19681,177.74024
2024/11/07,190.00000,191.00000,185.00000,185.00000,574300.00000,187.20000,184.85714,186.90000,1.16619,3.56285,4.92172,4.40000,5.07143,4.23333,4.40000,5.14286,4.46667,-1.17521,0.07728,-1.01659,42.85714,54.05405,40.54054,0.30000,-3.36296,3.66296,-2.81181,3.11181,-2.04286,-4.61376,2.57090,-4.21236,2.16950,189.53238,191.98284,196.74344,184.86762,177.73145,177.05656
2024/11/06,188.00000,189.00000,185.00000,188.00000,535400.00000,187.40000,184.64286,187.36667,0.80000,3.63725,5.36335,4.20000,4.92857,4.20000,4.40000,5.00000,4.43333,0.32017,1.81818,0.33802,30.00000,57.14286,43.05556,0.03333,-4.41111,4.44444,-3.58976,3.62310,-2.72381,-5.16349,2.43968,-4.75474,2.03093,189.00000,191.91736,198.09337,185.80000,177.36836,176.63996
2024/11/05,189.00000,190.00000,186.00000,188.00000,315600.00000,188.20000,184.28571,187.70000,2.03961,3.53409,5.69298,5.40000,5.00000,4.23333,5.60000,5.07143,4.46667,-0.10627,2.01550,0.15983,61.11111,51.28205,43.83562,0.50000,-5.45926,5.95926,-4.49554,4.99554,-3.41429,-5.64656,2.23228,-5.26247,1.84818,192.27922,191.35390,199.08596,184.12078,177.21753,176.31404
2024/11/01,187.00000,189.00000,184.00000,187.00000,430700.00000,187.40000,184.21429,188.00000,2.65330,3.46778,5.93296,6.00000,5.00000,4.33333,6.20000,5.28571,4.56667,-0.21345,1.51221,-0.53191,66.66667,55.81395,41.89189,-0.60000,-6.59630,5.99630,-5.74442,5.14442,-3.78571,-6.08677,2.30106,-5.72451,1.93880,192.70660,191.14985,199.86592,182.09340,177.27872,176.13408
2024/10/31,186.00000,188.00000,185.00000,188.00000,325300.00000,186.00000,183.85714,188.40000,4.00000,3.41963,6.24820,6.00000,4.78571,4.40000,6.20000,5.07143,4.63333,1.07527,2.25330,-0.21231,71.42857,55.81395,42.46575,-2.40000,-7.59259,5.19259,-7.03053,4.63053,-4.54286,-6.50688,1.96402,-6.20921,1.66635,194.00000,190.69641,200.89640,178.00000,177.01788,175.90360
2024/10/30,191.00000,191.00000,186.00000,186.00000,351500.00000,184.20000,183.50000,188.76667,4.66476,3.22380,6.53036,6.20000,4.71429,4.60000,6.40000,5.00000,4.83333,0.97720,1.36240,-1.46565,61.90476,51.16279,38.15789,-4.56667,-8.56667,4.00000,-8.18816,3.62149,-5.26667,-6.90000,1.63333,-6.62580,1.35913,193.52952,189.94759,201.82738,174.87048,177.05241,175.70595
2024/10/29,184.00000,194.00000,184.00000,192.00000,891900.00000,183.20000,183.42857,189.36667,4.70744,3.17837,7.05447,5.80000,4.50000,4.56667,5.80000,4.71429,4.76667,4.80349,4.67290,1.39060,81.25000,57.89474,39.72603,-6.16667,-9.40741,3.24074,-9.09353,2.92686,-5.93810,-7.22328,1.28519,-6.96558,1.02749,192.61488,189.78531,203.47561,173.78512,177.07183,175.25773
2024/10/28,178.00000,185.00000,178.00000,184.00000,886200.00000,181.20000,183.00000,189.86667,1.72047,2.26779,7.72327,5.20000,4.07143,4.46667,5.20000,4.28571,4.86667,1.54525,0.54645,-3.08989,41.66667,42.42424,41.33333,-8.66667,-10.10370,1.43704,-9.82525,1.15858,-6.86667,-7.45291,0.58624,-7.22245,0.35579,184.64093,187.53557,205.31321,177.75907,178.46443,174.42013
2024/10/25,180.00000,183.00000,178.00000,180.00000,1003900.00000,181.60000,183.35714,190.30000,2.41661,2.74141,7.74661,4.80000,3.78571,4.53333,4.80000,4.00000,4.93333,-0.88106,-1.83093,-5.41251,41.66667,32.25806,34.17722,-8.70000,-10.55556,1.85556,-10.11489,1.41489,-6.94286,-7.55238,0.60952,-7.31140,0.36854,186.43322,188.83995,205.79322,176.76678,177.87433,174.80678
2024/10/24,180.00000,181.00000,177.00000,179.00000,1460800.00000,182.00000,184.14286,191.13333,2.28035,3.20395,7.93613,4.40000,3.57143,4.50000,4.40000,3.78571,4.90000,-1.64835,-2.79286,-6.34810,36.36364,32.25806,33.33333,-9.13333,-11.05185,1.91852,-10.46861,1.33528,-6.99048,-7.64074,0.65026,-7.40354,0.41306,186.56070,190.55076,207.00560,177.43930,177.73495,175.26107
2024/10/23,182.00000,183.00000,180.00000,181.00000,941100.00000,182.60000,184.92857,192.00000,1.74356,3.19518,7.98332,4.40000,3.42857,4.60000,4.40000,3.78571,5.00000,-0.87623,-2.12437,-5.72917,40.00000,40.62500,35.89744,-9.40000,-11.42963,2.02963,-10.80243,1.40243,-7.07143,-7.72646,0.65503,-7.50680,0.43537,186.08712,191.31893,207.96663,179.11288,178.53821,176.03337
2024/10/22,188.00000,188.00000,181.00000,182.00000,493800.00000,183.00000,185.35714,192.73333,1.54919,3.03802,7.94956,4.80000,3.57143,4.73333,4.80000,3.92857,5.13333,-0.54645,-1.81118,-5.56901,30.76923,37.14286,34.56790,-9.73333,-11.75926,2.02593,-11.15304,1.41971,-7.37619,-7.82910,0.45291,-7.61565,0.23946,186.09839,191.43319,208.63246,179.90161,179.28109,176.83421
2024/10/21,182.00000,186.00000,181.00000,186.00000,601900.00000,184.00000,186.00000,193.56667,2.09762,3.20713,8.08984,4.20000,3.28571,4.73333,4.80000,3.64286,5.13333,1.08696,0.00000,-3.90908,64.28571,43.75000,35.00000,-9.56667,-12.13704,2.57037,-11.50797,1.94130,-7.56667,-7.91640,0.34974,-7.67551,0.10884,188.19524,192.41427,209.74635,179.80476,179.58573,177.38698
2024/10/18,183.00000,185.00000,182.00000,182.00000,399900.00000,183.20000,186.28571,194.36667,1.93907,3.36852,8.47932,3.60000,3.42857,4.76667,4.20000,3.85714,5.26667,-0.65502,-2.30061,-6.36255,45.45455,28.57143,28.91566,-11.16667,-12.52222,1.35556,-11.99329,0.82663,-8.08095,-7.97937,-0.10159,-7.70272,-0.37823,187.07814,193.02276,211.32531,179.32186,179.54867,177.40802
2024/10/17,185.00000,185.00000,181.00000,182.00000,605700.00000,183.40000,187.35714,195.53333,1.85472,4.13361,9.08381,3.40000,3.57143,4.93333,4.00000,4.00000,5.43333,-0.76336,-2.85932,-6.92124,38.46154,28.57143,35.16484,-12.13333,-12.80741,0.67407,-12.19995,0.06662,-8.17619,-7.96614,-0.21005,-7.60816,-0.56803,187.10945,195.62436,213.70095,179.69055,179.08992,177.36572
2024/10/16,186.00000,187.00000,182.00000,183.00000,772000.00000,184.00000,188.42857,196.43333,1.78885,4.53107,9.03579,3.00000,3.50000,5.00000,3.60000,3.92857,5.50000,-0.54348,-2.88097,-6.83862,38.46154,27.77778,35.16484,-12.43333,-12.93704,0.50370,-12.21660,-0.21673,-8.00476,-7.90053,-0.10423,-7.46616,-0.53861,187.57771,197.49072,214.50492,180.42229,179.36643,178.36175
2024/10/15,185.00000,189.00000,185.00000,187.00000,608600.00000,184.60000,189.57143,197.33333,1.85472,5.01019,8.99753,2.80000,3.35714,4.93333,3.40000,3.78571,5.43333,1.30011,-1.35644,-5.23649,41.66667,31.25000,35.95506,-12.73333,-12.96667,0.23333,-12.16242,-0.57091,-7.76190,-7.88730,0.12540,-7.33150,-0.43040,188.30945,199.59182,215.32839,180.89055,179.55104,179.33827
2024/10/11,183.00000,184.00000,182.00000,182.00000,543100.00000,185.00000,190.42857,198.16667,2.44949,5.49954,9.15818,2.60000,3.42857,4.96667,2.60000,3.64286,5.43333,-1.62162,-4.42611,-8.15812,0.00000,21.42857,30.33708,-13.16667,-12.75926,-0.40741,-12.01969,-1.14698,-7.73810,-7.82116,0.08307,-7.22390,-0.51419,189.89898,201.42764,216.48302,180.10102,179.42950,179.85031
2024/10/10,184.00000,185.00000,183.00000,183.00000,557500.00000,186.80000,191.57143,199.33333,2.85657,5.28764,9.25323,2.60000,3.64286,5.20000,2.60000,3.85714,5.66667,-2.03426,-4.47427,-8.19398,11.11111,25.00000,29.67033,-12.53333,-12.37778,-0.15556,-11.73295,-0.80039,-7.76190,-7.69841,-0.06349,-7.09536,-0.66655,192.51314,202.14672,217.83979,181.08686,180.99614,180.82688
2024/10/09,186.00000,186.00000,184.00000,185.00000,766200.00000,188.20000,192.57143,200.56667,2.31517,4.88020,9.45757,2.60000,4.00000,5.33333,3.00000,4.21429,5.80000,-1.70032,-3.93175,-7.76134,40.00000,25.00000,30.33708,-12.36667,-11.91111,-0.45556,-11.53285,-0.83382,-7.99524,-7.49206,-0.50317,-6.92872,-1.06652,192.83033,202.33182,219.48180,183.56967,182.81103,181.65153
2024/10/08,189.00000,189.00000,185.00000,186.00000,1266400.00000,188.60000,193.57143,201.73333,1.85472,4.65548,9.62266,3.20000,4.35714,5.46667,3.60000,4.57143,5.96667,-1.37858,-3.91144,-7.79907,30.76923,25.92593,35.78947,-13.13333,-11.45556,-1.67778,-11.32440,-1.80894,-8.16190,-7.17302,-0.98889,-6.66209,-1.49982,192.30945,202.88238,220.97865,184.89055,184.26047,182.48802
2024/10/07,191.00000,191.00000,188.00000,189.00000,532800.00000,189.60000,194.50000,202.63333,1.49666,4.33837,9.36833,3.00000,4.71429,5.63333,3.40000,4.92857,6.13333,-0.31646,-2.82776,-6.72808,45.45455,24.13793,35.78947,-13.03333,-10.87037,-2.16296,-10.87216,-2.16117,-8.13333,-6.73228,-1.40106,-6.28714,-1.84620,192.59333,203.17673,221.36999,186.60667,185.82327,183.89668
2024/10/04,190.00000,191.00000,189.00000,191.00000,401800.00000,189.80000,195.57143,203.53333,1.46969,4.68606,9.31212,3.80000,4.78571,5.83333,4.40000,5.00000,6.33333,0.63224,-2.33747,-6.15788,31.25000,23.33333,37.89474,-13.73333,-10.28889,-3.44444,-10.33187,-3.40146,-7.96190,-6.14444,-1.81746,-5.82559,-2.13632,192.73939,204.94355,222.15757,186.86061,186.19930,184.90910
2024/10/03,191.00000,191.00000,189.00000,190.00000,400800.00000,191.00000,196.71429,204.30000,3.28634,5.33758,9.19474,4.40000,5.14286,5.93333,5.00000,5.78571,6.43333,-0.52356,-3.41322,-6.99951,26.66667,41.02564,37.23404,-13.30000,-9.49630,-3.80370,-9.48150,-3.81850,-7.58571,-5.47407,-2.11164,-5.29151,-2.29421,197.57267,207.38945,222.68949,184.42733,186.03912,185.91051
2024/10/02,190.00000,192.00000,187.00000,187.00000,843700.00000,192.40000,197.21429,205.10000,3.97995,5.00255,8.95675,4.60000,5.64286,6.23333,4.80000,6.14286,6.73333,-2.80665,-5.17928,-8.82496,7.14286,29.54545,41.58416,-12.70000,-8.52222,-4.17778,-8.52688,-4.17312,-7.88571,-4.72063,-3.16508,-4.71795,-3.16776,200.35990,207.21939,223.01350,184.44010,187.20918,187.18650
2024/10/01,191.00000,193.00000,190.00000,191.00000,373500.00000,194.80000,198.50000,205.66667,3.60000,4.50000,8.30796,4.20000,5.57143,6.36667,4.40000,6.07143,6.86667,-1.95072,-3.77834,-7.13128,10.00000,32.50000,42.85714,-10.86667,-7.59630,-3.27037,-7.48360,-3.38307,-7.16667,-3.79630,-3.37037,-3.92601,-3.24065,202.00000,207.50000,222.28259,187.60000,189.50000,189.05074
2024/09/30,195.00000,196.00000,189.00000,190.00000,883300.00000,196.40000,199.50000,206.13333,3.32265,4.27200,7.85168,4.60000,5.85714,6.50000,4.80000,6.35714,7.16667,-3.25866,-4.76190,-7.82665,10.00000,34.14634,47.16981,-9.73333,-6.64815,-3.08519,-6.63783,-3.09550,-6.63333,-2.71640,-3.91693,-3.11585,-3.51748,203.04530,208.04400,221.83669,189.75470,190.95600,190.42997
2024/09/27,198.00000,201.00000,196.00000,197.00000,496800.00000,198.00000,200.42857,206.33333,0.89443,3.43749,7.50703,4.20000,5.85714,6.63333,4.20000,6.28571,7.26667,-0.50505,-1.71062,-4.52342,50.00000,36.84211,51.00000,-8.33333,-5.68889,-2.64444,-5.86396,-2.46938,-5.90476,-1.52540,-4.37937,-2.23648,-3.66828,199.78885,207.30355,221.34740,196.21115,193.55359,191.31927
2024/09/26,199.00000,200.00000,197.00000,197.00000,204300.00000,198.00000,201.14286,206.26667,0.89443,3.68117,7.59795,4.60000,6.00000,6.60000,4.60000,6.42857,7.23333,-0.50505,-2.05966,-4.49257,33.33333,34.14634,50.00000,-8.26667,-4.93704,-3.32963,-5.24661,-3.02005,-5.12381,-0.31799,-4.80582,-1.31941,-3.80440,199.78885,208.50520,221.46257,196.21115,193.78052,191.07076
2024/09/25,200.00000,201.00000,198.00000,199.00000,283300.00000,198.40000,202.07143,206.26667,0.80000,4.13114,7.59795,5.40000,6.21429,6.70000,5.40000,6.85714,7.33333,0.30242,-1.51997,-3.52295,50.00000,30.43478,51.00000,-7.86667,-4.24074,-3.62593,-4.49160,-3.37507,-4.19524,0.80212,-4.99735,-0.36831,-3.82693,200.00000,210.33371,221.46257,196.80000,193.80915,191.07076
2024/09/24,198.00000,202.00000,197.00000,199.00000,462300.00000,198.40000,203.35714,206.20000,0.80000,5.53698,7.66985,6.60000,6.57143,6.86667,6.60000,7.21429,7.50000,0.30242,-2.14261,-3.49176,22.22222,40.74074,52.88462,-7.80000,-3.36667,-4.43333,-3.64783,-4.15217,-2.84286,1.90317,-4.74603,0.58842,-3.43128,200.00000,214.43111,221.53971,196.80000,192.28318,190.86029
2024/09/20,201.00000,201.00000,196.00000,198.00000,483400.00000,199.40000,204.07143,206.00000,2.41661,5.57372,7.92885,6.40000,6.64286,7.06667,6.40000,7.28571,7.70000,-0.70211,-2.97515,-3.88350,9.09091,38.88889,53.77358,-6.60000,-2.28889,-4.31111,-2.60979,-3.99021,-1.92857,2.86984,-4.79841,1.44624,-3.37481,204.23322,215.21886,221.85770,194.56678,192.92399,190.14230
